,company,sector,inventory,cogs,sales,date,avg_inventory,company_name
123,ALGN,Health Care,13434000,20993000,99437000,2012-03-31,11418000.0,Align Technology
124,AMGN,Health Care,2075000000,2708000000,14311000000,2008-12-31,1044217000.0,Amgen
125,AMGN,Health Care,2061000000,750000000,7229000000,2009-06-30,2068000000.0,Amgen
126,AMGN,Health Care,2155000000,1502000000,11013000000,2009-09-30,2108000000.0,Amgen
127,AMGN,Health Care,2220000000,2277000000,14687000000,2009-12-31,2187500000.0,Amgen
128,AMGN,Health Care,2202000000,3199000000,3238000000,2010-03-31,2211000000.0,Amgen
129,AMGN,Health Care,2112000000,744000000,6872000000,2010-06-30,2157000000.0,Amgen
130,AMGN,Health Care,2044000000,1529000000,10608000000,2010-09-30,2078000000.0,Amgen
131,AMGN,Health Care,2022000000,2317000000,14351000000,2010-12-31,2033000000.0,Amgen
132,AMGN,Health Care,2098000000,3346000000,3528000000,2011-03-31,2060000000.0,Amgen
133,AMGN,Health Care,2230000000,1090000000,7141000000,2011-06-30,2164000000.0,Amgen
134,AMGN,Health Care,2357000000,2171000000,10900000000,2011-09-30,2293500000.0,Amgen
135,AMGN,Health Care,2484000000,3239000000,14660000000,2011-12-31,2420500000.0,Amgen
136,AMGN,Health Care,2499000000,4422000000,3618000000,2012-03-31,2491500000.0,Amgen
137,AMGN,Health Care,2592000000,1033000000,7511000000,2012-06-30,2545500000.0,Amgen
138,AMGN,Health Care,2769000000,2122000000,11388000000,2012-09-30,2680500000.0,Amgen
139,AMGN,Health Care,2744000000,3156000000,15295000000,2012-12-31,2756500000.0,Amgen
140,AMGN,Health Care,2737000000,4227000000,3901000000,2013-03-31,2740500000.0,Amgen
141,AMGN,Health Care,2773000000,1018000000,8101000000,2013-06-30,2755000000.0,Amgen
142,AMGN,Health Care,2838000000,2068000000,12302000000,2013-09-30,2805500000.0,Amgen
143,AMGN,Health Care,3019000000,3095000000,16639000000,2013-12-31,2928500000.0,Amgen
144,AMGN,Health Care,2966000000,4162000000,4151000000,2014-03-31,2992500000.0,Amgen
145,AMGN,Health Care,2954000000,996000000,8746000000,2014-06-30,2960000000.0,Amgen
146,AMGN,Health Care,2885000000,2020000000,13393000000,2014-09-30,2919500000.0,Amgen
147,AMGN,Health Care,2647000000,3010000000,18192000000,2014-12-31,2766000000.0,Amgen
148,AMGN,Health Care,2686000000,4069000000,4356000000,2015-03-31,2666500000.0,Amgen
149,AMGN,Health Care,2567000000,944000000,9305000000,2015-06-30,2626500000.0,Amgen
150,APH,Information Technology,512507000,1920900000,2851041000,2008-12-31,1539753500.0,Amphenol
151,APH,Information Technology,449894000,1090035000,1617531000,2009-06-30,481200500.0,Amphenol
152,APH,Information Technology,455990000,1672442000,2481189000,2009-09-30,452942000.0,Amphenol
153,APH,Information Technology,461750000,2187318000,3236471000,2009-12-31,458870000.0,Amphenol
154,APH,Information Technology,476097000,453633000,660012000,2010-03-31,468923500.0,Amphenol
155,APH,Information Technology,498552000,924667000,1345196000,2010-06-30,487324500.0,Amphenol
156,APH,Information Technology,539728000,1416847000,2061769000,2010-09-30,519140000.0,Amphenol
157,APH,Information Technology,549169000,1933511000,2820065000,2010-12-31,544448500.0,Amphenol
158,APH,Information Technology,602985000,521762000,770954000,2011-03-31,576077000.0,Amphenol
159,APH,Information Technology,642273000,1117261000,1655752000,2011-06-30,622629000.0,Amphenol
160,APH,Information Technology,634814000,1756007000,2604215000,2011-09-30,638543500.0,Amphenol
161,APH,Information Technology,649862000,2395873000,3554101000,2011-12-31,642338000.0,Amphenol
162,APH,Information Technology,659108000,636461000,940585000,2012-03-31,654485000.0,Amphenol
163,APH,Information Technology,675342000,1332977000,1958323000,2012-06-30,667225000.0,Amphenol
164,APH,Information Technology,712189000,2042254000,2991077000,2012-09-30,693765500.0,Amphenol
165,APH,Information Technology,733718000,2696126000,3939786000,2012-12-31,722953500.0,Amphenol
166,APH,Information Technology,711581000,672333000,981604000,2013-03-31,722649500.0,Amphenol
167,APH,Information Technology,703489000,1399279000,2042711000,2013-06-30,707535000.0,Amphenol
168,APH,Information Technology,732724000,2158326000,3146087000,2013-09-30,718106500.0,Amphenol
169,APH,Information Technology,792644000,2948853000,4292065000,2013-12-31,762684000.0,Amphenol
170,APH,Information Technology,772710000,741913000,1079805000,2014-03-31,782677000.0,Amphenol
171,APH,Information Technology,805452000,1518192000,2215872000,2014-06-30,789081000.0,Amphenol
172,APH,Information Technology,848072000,2307406000,3368934000,2014-09-30,826762000.0,Amphenol
173,APH,Information Technology,865600000,3163835000,4614669000,2014-12-31,856836000.0,Amphenol
174,APH,Information Technology,871400000,857218000,1246074000,2015-03-31,868500000.0,Amphenol
175,APH,Information Technology,893000000,1754623000,2560246000,2015-06-30,882200000.0,Amphenol
176,APH,Information Technology,887700000,2681710000,3918988000,2015-09-30,890350000.0,Amphenol
177,APH,Information Technology,851800000,3651700000,5345500000,2015-12-31,869750000.0,Amphenol
178,APH,Information Technology,933500000,902500000,1327100000,2016-03-31,892650000.0,Amphenol
179,APH,Information Technology,926600000,1821600000,2678600000,2016-06-30,930050000.0,Amphenol
180,APH,Information Technology,926600000,2817100000,4138200000,2016-09-30,926600000.0,Amphenol
181,APH,Information Technology,928900000,3789200000,5568700000,2016-12-31,927750000.0,Amphenol
182,APH,Information Technology,962300000,992000000,1451200000,2017-03-31,945600000.0,Amphenol
183,APH,Information Technology,1059200000,2042800000,2999400000,2017-06-30,1010750000.0,Amphenol
184,APH,Information Technology,1098200000,3141300000,4635300000,2017-09-30,1078700000.0,Amphenol
185,APH,Information Technology,1106900000,4246400000,6286400000,2017-12-31,1102550000.0,Amphenol
186,APH,Information Technology,1166800000,1044200000,1560100000,2018-03-31,1136850000.0,Amphenol
187,APH,Information Technology,1159800000,2158100000,3226600000,2018-06-30,1163300000.0,Amphenol
188,APH,Information Technology,1245500000,3392800000,5067400000,2018-09-30,1202650000.0,Amphenol
189,APH,Information Technology,1233800000,4701400000,7011300000,2018-12-31,1239650000.0,Amphenol
190,ADI,Information Technology,314629000,896271000,2429721000,2008-11-01,774214500.0,Analog Devices
191,ADI,Information Technology,276072000,234507000,2582931000,2009-08-01,295350500.0,Analog Devices
192,ADI,Information Technology,253161000,468232000,2014908000,2009-10-31,264616500.0,Analog Devices
193,APTV,Consumer Discretionary,1054000000,11768000000,13817000000,2011-12-31,653580500.0,Aptiv
194,APTV,Consumer Discretionary,1137000000,3353000000,3997000000,2012-03-31,1095500000.0,Aptiv
195,APTV,Consumer Discretionary,1106000000,6871000000,8210000000,2012-06-30,1121500000.0,Aptiv
196,APTV,Consumer Discretionary,1121000000,10165000000,12141000000,2012-09-30,1113500000.0,Aptiv
197,APTV,Consumer Discretionary,1066000000,13386000000,16041000000,2012-12-31,1093500000.0,Aptiv
198,APTV,Consumer Discretionary,1148000000,3373000000,4092000000,2013-03-31,1107000000.0,Aptiv
199,APTV,Consumer Discretionary,1162000000,6645000000,8089000000,2013-06-30,1155000000.0,Aptiv
200,APTV,Consumer Discretionary,1233000000,9703000000,11752000000,2013-09-30,1197500000.0,Aptiv
201,APTV,Consumer Discretionary,1093000000,12861000000,15519000000,2013-12-31,1163000000.0,Aptiv
202,APTV,Consumer Discretionary,1235000000,3339000000,4024000000,2014-03-31,1164000000.0,Aptiv
203,APTV,Consumer Discretionary,1262000000,6803000000,8264000000,2014-06-30,1248500000.0,Aptiv
204,APTV,Consumer Discretionary,1227000000,10141000000,12281000000,2014-09-30,1244500000.0,Aptiv
205,APTV,Consumer Discretionary,1104000000,13567000000,16463000000,2014-12-31,1165500000.0,Aptiv
206,APTV,Consumer Discretionary,1081000000,3508000000,4276000000,2015-03-31,1092500000.0,Aptiv
207,APTV,Consumer Discretionary,1150000000,7119000000,8727000000,2015-06-30,1115500000.0,Aptiv
208,APTV,Consumer Discretionary,1187000000,10507000000,12871000000,2015-09-30,1168500000.0,Aptiv
209,APTV,Consumer Discretionary,1181000000,13850000000,17023000000,2015-12-31,1184000000.0,Aptiv
210,APTV,Consumer Discretionary,1287000000,3056000000,3797000000,2016-03-31,1234000000.0,Aptiv
211,APTV,Consumer Discretionary,1318000000,6132000000,7655000000,2016-06-30,1302500000.0,Aptiv
212,APTV,Consumer Discretionary,1375000000,8994000000,11286000000,2016-09-30,1346500000.0,Aptiv
213,APTV,Consumer Discretionary,1232000000,12155000000,15165000000,2016-12-31,1303500000.0,Aptiv
214,APTV,Consumer Discretionary,1375000000,3265000000,4051000000,2017-03-31,1303500000.0,Aptiv
215,APTV,Consumer Discretionary,1485000000,6613000000,8257000000,2017-06-30,1430000000.0,Aptiv
216,APTV,Consumer Discretionary,1642000000,9869000000,12348000000,2017-09-30,1563500000.0,Aptiv
217,APTV,Consumer Discretionary,1083000000,13107000000,16661000000,2017-12-31,1362500000.0,Aptiv
218,APTV,Consumer Discretionary,1202000000,3445000000,4292000000,2018-03-31,1142500000.0,Aptiv
219,APTV,Consumer Discretionary,1265000000,6864000000,8610000000,2018-06-30,1233500000.0,Aptiv
220,APTV,Consumer Discretionary,1358000000,10314000000,12943000000,2018-09-30,1311500000.0,Aptiv
221,APTV,Consumer Discretionary,1277000000,10270000000,12884000000,2018-12-31,1317500000.0,Aptiv
222,APTV,Consumer Discretionary,1326000000,2947000000,3630000000,2019-03-31,1301500000.0,Aptiv
223,APTV,Consumer Discretionary,1304000000,5905000000,7314000000,2019-06-30,1315000000.0,Aptiv
224,ANET,Information Technology,73360000,112958000,331687000,2013-12-31,688680000.0,Arista Networks
225,ANET,Information Technology,71068000,33027000,106493000,2014-06-30,72214000.0,Arista Networks
226,ANET,Information Technology,62587000,73059000,232883000,2014-09-30,66827500.0,Arista Networks
227,ANET,Information Technology,80519000,122692000,374338000,2014-12-31,71553000.0,Arista Networks
228,ANET,Information Technology,91225000,174004000,531543000,2015-03-31,85872000.0,Arista Networks
229,ANET,Information Technology,100304000,54439000,160141000,2015-06-30,95764500.0,Arista Networks
230,ANET,Information Technology,109921000,114453000,334213000,2015-09-30,105112500.0,Arista Networks
231,ANET,Information Technology,92129000,182443000,527552000,2015-12-31,101025000.0,Arista Networks
232,ANET,Information Technology,84030000,263585000,744877000,2016-03-31,88079500.0,Arista Networks
233,ANET,Information Technology,118130000,78913000,212475000,2016-06-30,101080000.0,Arista Networks
