company,date,price,return
SLB,2011-12-31,47.5566520690918,12.876191444866967
SLB,2012-03-31,48.85659408569336,2.660729919735079
SPGI,2008-06-30,29.207338333129883,-67.27506467193324
SPGI,2008-09-30,23.133649826049805,-26.254778440714354
SPGI,2008-12-31,17.174758911132812,-34.695630638834714
SPGI,2009-03-31,17.11980438232422,-0.3209997473179832
SPGI,2009-06-30,22.70575714111328,24.601482012130685
SPGI,2009-09-30,19.102779388427734,-18.861013255841677
SPGI,2009-12-31,25.64899444580078,25.522306814818563
SPGI,2010-03-31,27.469694137573242,6.628030449316488
SPGI,2010-06-30,21.863794326782227,-25.64010494703577
SPGI,2010-09-30,25.90403175354004,15.596944387646044
SPGI,2010-12-31,28.721702575683594,9.81024998333161
SPGI,2011-03-31,31.28163719177246,8.18350587085694
SPGI,2011-06-30,33.472076416015625,6.544079300664745
SPGI,2011-09-30,32.958282470703125,-1.558922088155581
SPGI,2011-12-31,36.357635498046875,9.349763758774584
SPGI,2012-03-31,39.407081604003906,7.738320073027677
SPGI,2012-06-30,36.794952392578125,-7.099150947543205
SPGI,2012-09-30,44.86745071411133,17.99188095835877
STLD,2008-12-31,7.558690547943115,-493.5876118955649
STLD,2009-06-30,10.160069465637207,25.60394814712954
STLD,2009-09-30,10.57854175567627,3.955859887914298
STLD,2009-12-31,12.270784378051758,13.790826814643834
STLD,2010-06-30,9.222668647766113,-33.050257433069
STLD,2010-09-30,9.9177827835083,7.008765476272096
STLD,2010-12-31,12.916385650634766,23.215495017207857
STLD,2011-03-31,13.319148063659668,3.023935247959368
STLD,2011-06-30,11.60488510131836,-14.771908100551222
STLD,2011-09-30,7.149749279022217,-62.311776936958786
STLD,2011-12-31,9.54916000366211,25.126929737481802
STLD,2012-03-31,10.631210327148438,10.178053958006508
STLD,2012-06-30,8.645416259765625,-22.969328575008912
STLD,2012-09-30,8.36536693572998,-3.3477231326160206
STLD,2012-12-31,10.294574737548828,18.74004367351068
STLD,2013-03-31,11.989991188049316,14.140264358078483
STLD,2013-06-30,11.344080924987793,-5.693808668437531
STLD,2013-09-30,12.805394172668457,11.411700631595222
STLD,2013-12-31,15.050759315490723,14.918617032904539
STLD,2014-03-31,13.791919708251953,-9.12737047392745
STLD,2014-06-30,14.006455421447754,1.5316916860156304
STLD,2014-09-30,17.73055648803711,21.00385889806687
STLD,2014-12-31,15.572333335876465,-13.859343398387203
STLD,2015-03-31,15.966439247131348,2.468339403387583
STLD,2015-06-30,16.562124252319336,3.5966703069781003
STLD,2015-09-30,13.843242645263672,-19.64049664321894
STLD,2015-12-31,14.510601997375488,4.599115544844526
STLD,2016-03-31,18.393634796142578,21.110742068127937
STLD,2016-06-30,20.141273498535156,8.676902691975664
STLD,2016-09-30,20.6579647064209,2.5011718977578874
STLD,2016-12-31,29.523679733276367,30.029166780531263
STLD,2017-03-31,28.972749710083008,-1.90154551675717
STLD,2017-06-30,29.987930297851562,3.385297276889048
STLD,2017-09-30,28.997602462768555,-3.415205916953094
STLD,2017-12-31,36.413429260253906,20.365636931591872
STLD,2018-03-31,37.49751663208008,2.8910911153479097
STLD,2018-06-30,39.12533187866211,4.160514859350745
STLD,2018-09-30,38.637569427490234,-1.2624045932476202
STLD,2018-12-31,25.846467971801758,-49.48877916179279
STLD,2019-03-31,30.55809211730957,15.41858087023346
STLD,2019-06-30,26.372739791870117,-15.86999438992556
STLD,2019-09-30,26.239763259887695,-0.5067748922327396
STZ,2010-02-28,12.792157173156738,-105.12383411727949
STZ,2010-08-31,14.170034408569336,9.723880660299072
STZ,2010-11-30,17.529678344726562,19.16546253781037
STZ,2011-02-28,17.28302001953125,-1.4271714371479525
STZ,2011-05-31,18.677907943725586,7.46811649568557
STZ,2011-08-31,16.81521987915039,-11.077393444523366
STZ,2011-11-30,16.560054779052734,-1.5408469567408771
STZ,2012-02-29,18.575843811035156,10.85166871819262
STZ,2012-05-31,16.406959533691406,-13.219294366454577
STZ,2012-08-31,28.016860961914062,41.438980062773915
STZ,2012-11-30,30.517475128173828,8.194040154885522
STZ,2013-02-28,37.62799835205078,18.896894693547843
STZ,2013-05-31,45.087249755859375,16.544037270401965
STZ,2013-08-31,46.14191818237305,2.2857056404659226
STZ,2013-11-30,59.886680603027344,22.95128446300876
STZ,2014-02-28,68.91943359375,13.106249601479309
STZ,2014-05-31,71.55611419677734,3.6847733175903667
STZ,2014-08-31,74.07371520996094,3.3987778337396577
STZ,2014-11-30,81.99226379394531,9.65767770955132
STZ,2015-02-28,97.57421875,15.969336117338564
STZ,2015-05-31,100.53901672363281,2.948902893871155
STZ,2015-08-31,109.43421173095703,8.128349322050193
STZ,2015-11-30,120.19563293457031,8.953254740520704
STZ,2016-02-29,121.4545669555664,1.0365472888777159
STZ,2016-05-31,131.85047912597656,7.884622217017034
STZ,2016-08-31,141.5818634033203,6.873326882004814
STZ,2016-11-30,130.7667694091797,-8.270521664643507
STZ,2017-02-28,137.7708740234375,5.083879059275096
STZ,2017-05-31,159.00247192382812,13.352998631720553
STZ,2017-08-31,174.5662384033203,8.915679584922625
STZ,2017-11-30,190.28268432617188,8.25952502115816
STZ,2018-02-28,188.89622497558594,-0.7339793851174801
STZ,2018-05-31,196.21420288085938,3.7295862367908654
STZ,2018-08-31,183.76048278808594,-6.777148113577372
STZ,2018-11-30,173.4181671142578,-5.96380174345518
STZ,2019-02-28,150.4895477294922,-15.236021192634755
SYY,2008-09-27,19.71394157409668,-663.3661039516793
SYY,2008-12-27,13.755840301513672,-43.31324835115589
SYY,2009-03-28,14.211390495300293,3.2055286492709603
SYY,2009-06-27,13.99711799621582,-1.5308329839214196
SYY,2009-09-26,15.34704875946045,8.796028372637346
